campaign_id,customer_id,acquisition_channel,campaign_name,campaign_cost,conversion_status
111,34962,YouTube Ads,Seamless even-keeled help-desk,4258.7,Converted
112,19776,Instagram Ads,Programmable web-enabled knowledgebase,3508.95,Not Converted
113,11568,Organic Search,Phased static groupware,2985.22,Converted
114,3804,YouTube Ads,Synergistic zero tolerance frame,196.75,Not Converted
115,25993,LinkedIn Ads,Fully-configurable bottom-line algorithm,1218.49,Not Converted
116,43204,Referral,Business-focused fault-tolerant access,1456.03,Converted
117,16485,Google Ads,Enhanced interactive analyzer,2235.16,Converted
118,36392,Google Ads,Re-engineered 4thgeneration encoding,4241.11,Converted
119,23878,Referral,Devolved full-range function,594.07,Converted
120,8925,Google Ads,Multi-lateral didactic customer loyalty,3580.66,Converted
121,46048,Organic Search,Function-based methodical installation,3473.72,Not Converted
122,26970,Organic Search,Realigned dynamic workforce,3657.29,Not Converted
123,36122,Instagram Ads,Vision-oriented 4thgeneration hardware,2648.16,Not Converted
124,31348,Referral,De-engineered attitude-oriented website,2894.73,Not Converted
125,31519,Referral,Cross-platform high-level secured line,2103.0,Converted
126,46623,YouTube Ads,Seamless human-resource strategy,3208.72,Not Converted
127,20260,YouTube Ads,Proactive zero tolerance migration,743.41,Converted
128,21858,LinkedIn Ads,Up-sized exuding hardware,957.99,Converted
129,21099,Instagram Ads,Persistent 3rdgeneration contingency,675.33,Not Converted
130,3328,LinkedIn Ads,Self-enabling object-oriented intranet,4927.3,Converted
131,28527,Organic Search,Decentralized asymmetric service-desk,3921.23,Not Converted
132,14399,Organic Search,Triple-buffered asynchronous matrix,3483.23,Not Converted
133,28065,Referral,Distributed secondary archive,813.5,Converted
134,30466,Organic Search,Realigned dedicated knowledgebase,2716.91,Converted
135,39790,Referral,Optional next generation process improvement,654.13,Not Converted
136,31996,LinkedIn Ads,Team-oriented object-oriented toolset,3961.06,Converted
137,7279,YouTube Ads,Configurable explicit access,3943.38,Converted
138,15053,Referral,Fully-configurable 5thgeneration encoding,2599.86,Not Converted
139,6407,Instagram Ads,Vision-oriented hybrid hardware,590.22,Not Converted
140,26393,LinkedIn Ads,Horizontal explicit knowledgebase,2547.99,Not Converted
141,20784,LinkedIn Ads,Re-engineered multimedia model,3409.69,Not Converted
142,27086,LinkedIn Ads,Phased intermediate productivity,2475.41,Not Converted
143,45957,Organic Search,Persevering bottom-line archive,4010.84,Converted
144,1772,YouTube Ads,Multi-layered analyzing leverage,1770.9,Converted
145,4233,Organic Search,Enhanced systematic forecast,2688.06,Not Converted
146,10909,Google Ads,Fully-configurable methodical knowledgebase,3623.91,Converted
147,7209,Google Ads,Down-sized client-server product,4496.56,Not Converted
148,2020,YouTube Ads,Organized hybrid archive,4414.43,Not Converted
149,9093,LinkedIn Ads,Balanced impactful throughput,3280.3,Converted
150,31618,Google Ads,Synergized multi-tasking Graphic Interface,1634.49,Converted
151,1638,Google Ads,Face-to-face leadingedge middleware,1729.5,Not Converted
152,48205,Organic Search,Ergonomic encompassing moderator,300.23,Converted
153,23314,Organic Search,Fully-configurable needs-based software,147.99,Not Converted
154,558,LinkedIn Ads,Innovative static time-frame,3926.73,Converted
155,43730,Google Ads,Pre-emptive mobile matrices,399.26,Not Converted
156,3732,Organic Search,Ameliorated encompassing access,1425.44,Not Converted
157,23934,Referral,Down-sized full-range Local Area Network,4097.16,Not Converted
158,10040,LinkedIn Ads,Optimized bifurcated software,2036.09,Not Converted
159,15310,Google Ads,Fundamental contextually-based matrix,2500.34,Converted
160,3481,Organic Search,Cross-platform analyzing core,2904.01,Not Converted
161,36879,Referral,Total modular monitoring,4725.23,Not Converted
162,16891,YouTube Ads,Synchronized content-based parallelism,2537.07,Converted
163,28912,Referral,Secured upward-trending Internet solution,2940.59,Not Converted
164,27352,Instagram Ads,Persistent coherent collaboration,3000.56,Converted
165,22678,LinkedIn Ads,Optimized grid-enabled function,2339.66,Converted
166,8169,LinkedIn Ads,Implemented asynchronous capability,956.33,Converted
167,16694,Instagram Ads,Devolved client-server hierarchy,1417.44,Not Converted
168,38756,Instagram Ads,Expanded web-enabled process improvement,2859.66,Converted
169,220,Referral,Enhanced global approach,2937.98,Not Converted
170,16341,Google Ads,Proactive 4thgeneration support,4258.18,Converted
171,1812,YouTube Ads,Self-enabling secondary Local Area Network,3552.13,Converted
172,2988,LinkedIn Ads,Face-to-face modular Internet solution,2088.41,Not Converted
173,14105,Referral,Total optimizing analyzer,1760.23,Converted
174,13701,Organic Search,Adaptive 24/7 knowledge user,4297.45,Not Converted
175,2034,Organic Search,Phased radical portal,3307.39,Not Converted
176,31065,Instagram Ads,Networked fresh-thinking website,442.05,Not Converted
177,28833,Google Ads,Future-proofed eco-centric neural-net,1495.7,Converted
178,8109,Instagram Ads,Synergized local alliance,2169.36,Not Converted
179,12335,Google Ads,Adaptive exuding task-force,2231.6,Not Converted
180,877,LinkedIn Ads,Object-based 24hour emulation,4716.38,Not Converted
181,42984,Referral,Triple-buffered national approach,4271.86,Converted
182,7708,Referral,Proactive multi-state methodology,4278.51,Not Converted
183,9993,Instagram Ads,Implemented didactic strategy,459.82,Not Converted
184,19448,Organic Search,Fundamental mobile capacity,982.59,Not Converted
185,40823,Organic Search,Focused cohesive analyzer,4186.44,Converted
186,48231,LinkedIn Ads,Proactive leadingedge parallelism,3587.14,Not Converted
187,39337,YouTube Ads,Managed zero tolerance superstructure,338.17,Converted
188,38801,LinkedIn Ads,Adaptive fresh-thinking hierarchy,302.78,Converted
189,12349,Referral,Open-source next generation standardization,4515.65,Not Converted
190,43821,Referral,Reactive foreground Graphic Interface,3914.91,Converted
191,39569,Referral,Configurable dedicated attitude,685.14,Not Converted
192,40649,Organic Search,Synergized actuating analyzer,3038.55,Not Converted
193,17126,YouTube Ads,Exclusive impactful projection,3675.22,Not Converted
194,25098,YouTube Ads,Expanded optimal success,1799.01,Not Converted
195,41438,Instagram Ads,Fundamental methodical leverage,316.66,Converted
196,48199,Organic Search,Operative zero-defect protocol,4086.61,Converted
197,27969,Google Ads,Proactive next generation knowledge user,1811.03,Converted
198,34216,Instagram Ads,Re-contextualized multimedia archive,633.6,Converted
199,9325,Organic Search,Synergistic human-resource superstructure,715.89,Converted
200,1140,Google Ads,Team-oriented static superstructure,1726.73,Not Converted
201,31364,LinkedIn Ads,Innovative grid-enabled hierarchy,2396.37,Converted
202,37705,Instagram Ads,Optional motivating neural-net,2566.41,Converted
203,38907,Organic Search,Assimilated asymmetric installation,1545.44,Converted
204,44080,Instagram Ads,Customizable bi-directional task-force,2673.72,Not Converted
205,24051,Organic Search,Decentralized 5thgeneration info-mediaries,863.91,Converted
206,45134,LinkedIn Ads,Streamlined intangible secured line,1934.23,Not Converted
207,1075,YouTube Ads,Open-source asymmetric access,2394.61,Converted
208,44641,YouTube Ads,Persistent zero administration process improvement,3671.1,Not Converted
209,44960,Instagram Ads,Integrated contextually-based database,3104.8,Not Converted
210,21566,Instagram Ads,Ameliorated dynamic protocol,2576.85,Converted
211,31103,Google Ads,Seamless upward-trending adapter,2447.7,Converted
212,42707,Referral,Self-enabling dynamic methodology,156.97,Converted
213,16156,Organic Search,Optional multi-tasking neural-net,2812.78,Not Converted
214,6027,Instagram Ads,Future-proofed dynamic capability,4672.12,Converted
215,44869,YouTube Ads,Secured mission-critical methodology,1952.39,Not Converted
216,13055,Google Ads,User-friendly maximized hardware,4228.56,Converted
217,49742,LinkedIn Ads,Adaptive fault-tolerant framework,4462.32,Not Converted
218,21753,Instagram Ads,Optimized global portal,1883.68,Converted
219,28326,Organic Search,Seamless grid-enabled methodology,4862.79,Converted
220,44765,Referral,Programmable even-keeled flexibility,1470.08,Not Converted
221,1015,Google Ads,Multi-layered human-resource firmware,3931.28,Converted
222,8845,Google Ads,Team-oriented tertiary architecture,4355.26,Converted
223,24166,YouTube Ads,Fully-configurable systemic initiative,4370.25,Not Converted
224,17244,YouTube Ads,Multi-tiered 4thgeneration forecast,985.88,Not Converted
225,24458,LinkedIn Ads,Monitored human-resource moderator,257.21,Converted
226,29251,Google Ads,Intuitive demand-driven frame,741.38,Not Converted
227,7971,Google Ads,Adaptive cohesive service-desk,2818.18,Converted
228,26605,YouTube Ads,Cloned grid-enabled workforce,4562.34,Converted
229,12956,LinkedIn Ads,Extended reciprocal strategy,336.39,Converted
230,14834,Organic Search,Visionary methodical moratorium,559.29,Not Converted
231,20767,Google Ads,Stand-alone tertiary artificial intelligence,540.56,Converted
232,44856,Referral,Realigned contextually-based strategy,3508.64,Not Converted
233,15436,LinkedIn Ads,Exclusive local function,4846.14,Not Converted
234,38951,Referral,Total scalable success,4571.33,Converted
235,8296,Instagram Ads,Reduced neutral encryption,4895.85,Converted
236,23033,Google Ads,Open-architected interactive projection,2024.78,Not Converted
237,25924,LinkedIn Ads,Innovative intangible parallelism,3474.31,Converted
238,47283,Instagram Ads,Reactive bifurcated hardware,4060.17,Not Converted
239,9072,Referral,Advanced interactive archive,3128.88,Converted
240,15088,YouTube Ads,Enhanced clear-thinking task-force,1832.97,Not Converted
241,7514,LinkedIn Ads,Operative bifurcated alliance,4330.11,Converted
242,33565,LinkedIn Ads,Front-line reciprocal projection,1102.52,Converted
243,42360,Google Ads,Innovative demand-driven concept,1759.05,Converted
244,11438,LinkedIn Ads,Adaptive composite portal,3341.93,Not Converted
245,7346,Google Ads,Persevering stable orchestration,2876.85,Not Converted
246,23573,LinkedIn Ads,Face-to-face executive access,2876.98,Not Converted
247,33583,LinkedIn Ads,Monitored 6thgeneration capability,992.45,Converted
248,36183,Organic Search,Self-enabling human-resource hub,2023.19,Converted
249,48587,YouTube Ads,Ameliorated incremental knowledge user,2727.7,Converted
250,9389,Referral,Persistent bottom-line structure,2977.21,Not Converted
251,11800,LinkedIn Ads,Focused tertiary database,436.68,Converted
252,44977,LinkedIn Ads,Right-sized zero administration infrastructure,3869.02,Converted
253,7200,YouTube Ads,Multi-tiered foreground strategy,107.86,Not Converted
254,10077,LinkedIn Ads,Public-key local structure,2849.01,Not Converted
255,41951,YouTube Ads,Grass-roots fault-tolerant frame,3197.0,Not Converted
256,25462,Google Ads,Multi-lateral human-resource capability,3014.02,Not Converted
257,19409,YouTube Ads,Cross-group non-volatile approach,3064.1,Converted
258,8532,LinkedIn Ads,Adaptive multi-tasking initiative,2685.15,Not Converted
259,7248,Organic Search,Synergistic logistical toolset,1355.42,Converted
260,30916,Referral,Implemented disintermediate superstructure,418.35,Converted
261,32242,Instagram Ads,Polarized content-based software,1334.21,Converted
262,2584,LinkedIn Ads,Multi-tiered non-volatile Graphical User Interface,262.14,Converted
263,30191,Referral,Phased radical task-force,2714.15,Not Converted
264,49191,Instagram Ads,Polarized regional Graphical User Interface,3227.29,Converted
265,10842,Instagram Ads,Front-line logistical customer loyalty,1612.49,Converted
266,41193,LinkedIn Ads,Operative demand-driven analyzer,608.38,Not Converted
267,24519,Google Ads,Self-enabling bifurcated encryption,2279.51,Not Converted
268,26851,Instagram Ads,Persevering context-sensitive algorithm,1905.03,Converted
269,35915,Google Ads,Virtual radical website,4294.6,Not Converted
270,33679,Instagram Ads,Streamlined needs-based productivity,2575.02,Converted
271,35691,YouTube Ads,Progressive reciprocal task-force,3319.6,Not Converted
272,33363,Referral,Cross-group 3rdgeneration moratorium,4795.97,Not Converted
273,29471,Organic Search,Stand-alone eco-centric time-frame,764.53,Not Converted
274,36365,Referral,Horizontal asynchronous groupware,753.16,Converted
275,5315,Google Ads,Synergistic zero-defect concept,790.22,Not Converted
276,2623,Referral,Customizable didactic focus group,2487.66,Converted
277,36809,Instagram Ads,Public-key bifurcated throughput,2771.29,Converted
278,259,Referral,Multi-lateral intangible frame,2759.78,Not Converted
279,37824,Referral,Grass-roots optimizing Graphic Interface,804.23,Not Converted
280,18946,Referral,Mandatory motivating model,2964.04,Not Converted
281,22752,YouTube Ads,Function-based regional focus group,884.06,Converted
282,25247,Referral,Customizable directional Internet solution,4128.91,Not Converted
283,26719,Referral,Seamless clear-thinking capacity,605.41,Not Converted
284,15655,Google Ads,De-engineered background hub,259.37,Converted
285,5716,YouTube Ads,Multi-channeled well-modulated analyzer,4321.25,Converted
286,2728,LinkedIn Ads,Sharable fault-tolerant customer loyalty,3919.57,Converted
287,26850,Instagram Ads,Fundamental mobile customer loyalty,3648.77,Converted
288,31937,Organic Search,Visionary user-facing help-desk,3865.99,Not Converted
289,10556,Google Ads,Up-sized grid-enabled instruction set,1237.98,Not Converted
290,35898,Google Ads,Quality-focused 6thgeneration product,4191.11,Converted
291,46634,YouTube Ads,Automated cohesive hierarchy,4726.22,Not Converted
292,22447,Google Ads,Right-sized encompassing data-warehouse,314.98,Converted
293,25141,YouTube Ads,Devolved static core,3880.84,Converted
294,13048,Instagram Ads,Streamlined bi-directional collaboration,4359.78,Converted
295,25768,Referral,Triple-buffered actuating secured line,4624.96,Converted
296,20170,LinkedIn Ads,Synchronized object-oriented secured line,4722.5,Not Converted
297,48271,Instagram Ads,Re-engineered eco-centric project,4066.79,Not Converted
298,32651,Instagram Ads,Enhanced local budgetary management,332.97,Not Converted
299,47960,Google Ads,Reverse-engineered dynamic hierarchy,3899.21,Not Converted
300,33898,Referral,Compatible even-keeled capability,4251.44,Converted
301,22140,Instagram Ads,Open-source bi-directional database,1433.73,Not Converted
302,5957,Instagram Ads,Face-to-face systemic strategy,3968.33,Converted
303,49356,Google Ads,Public-key system-worthy challenge,1174.04,Converted
304,21545,Organic Search,Up-sized executive Internet solution,1819.9,Not Converted
305,11688,Google Ads,Advanced contextually-based capability,3751.91,Not Converted
306,26605,Google Ads,Multi-channeled needs-based hub,4066.65,Not Converted
307,20236,YouTube Ads,Decentralized static protocol,1431.49,Not Converted
308,8606,LinkedIn Ads,Decentralized value-added definition,225.83,Converted
309,39800,LinkedIn Ads,Function-based context-sensitive leverage,2581.94,Not Converted
310,19617,YouTube Ads,Exclusive needs-based conglomeration,4142.3,Converted
311,26883,Referral,Intuitive local monitoring,1513.84,Converted
312,6031,Organic Search,Enterprise-wide stable migration,4526.58,Not Converted
313,41080,Organic Search,Balanced dynamic extranet,2709.37,Converted
314,20592,Instagram Ads,Grass-roots systemic portal,2086.84,Converted
315,41060,YouTube Ads,Ameliorated background time-frame,2823.41,Converted
316,25540,Instagram Ads,Progressive zero administration model,3289.2,Not Converted
317,47406,YouTube Ads,Object-based contextually-based success,3590.56,Converted
318,41370,LinkedIn Ads,Robust motivating leverage,3715.19,Converted
319,37142,Instagram Ads,Assimilated global neural-net,1980.03,Converted
320,45954,Instagram Ads,Synergized non-volatile artificial intelligence,4949.17,Not Converted
321,23284,Google Ads,Configurable mission-critical toolset,4135.09,Converted
322,16336,YouTube Ads,Distributed interactive orchestration,3365.57,Not Converted
323,38886,Organic Search,Cloned object-oriented functionalities,1913.66,Not Converted
324,5708,YouTube Ads,Monitored real-time core,4454.28,Not Converted
325,15394,YouTube Ads,Proactive encompassing groupware,69.37,Converted
326,45346,YouTube Ads,Compatible directional capability,485.27,Converted
327,32765,Organic Search,Progressive logistical Internet solution,165.25,Not Converted
328,19825,Referral,Multi-lateral interactive methodology,419.75,Converted
329,2497,Google Ads,Centralized 5thgeneration collaboration,4362.78,Not Converted
330,41005,Referral,Grass-roots system-worthy productivity,1411.98,Converted
331,18722,Google Ads,Self-enabling national frame,3005.86,Converted
332,3741,Instagram Ads,Secured actuating architecture,4125.38,Converted
333,15143,Google Ads,Virtual reciprocal implementation,773.01,Not Converted
334,18455,Instagram Ads,Persistent tertiary analyzer,3314.88,Converted
335,7498,Google Ads,Customer-focused grid-enabled interface,4205.02,Not Converted
336,25763,YouTube Ads,Diverse 5thgeneration flexibility,137.42,Not Converted
337,5099,Referral,Fully-configurable client-server matrix,4318.87,Converted
338,11742,YouTube Ads,Automated real-time hardware,2352.76,Not Converted
339,39209,Instagram Ads,Vision-oriented local strategy,333.98,Converted
340,43264,Organic Search,Horizontal motivating workforce,2728.09,Converted
341,45090,Organic Search,Business-focused background definition,4945.67,Converted
342,11331,Google Ads,Synergistic eco-centric archive,1853.82,Not Converted
343,4996,YouTube Ads,Multi-lateral logistical matrix,4481.57,Converted
344,39737,Instagram Ads,Balanced tangible forecast,3773.87,Converted
345,9819,YouTube Ads,Vision-oriented actuating analyzer,885.6,Converted
346,26448,Organic Search,Total 24/7 implementation,3403.88,Not Converted
347,12470,Organic Search,Public-key systematic intranet,2996.88,Converted
348,5155,YouTube Ads,Triple-buffered discrete groupware,952.95,Converted
349,34383,Referral,Automated holistic knowledge user,3424.18,Converted
350,48499,Google Ads,Robust even-keeled encoding,1109.56,Not Converted
351,49870,YouTube Ads,Cloned real-time ability,4775.4,Not Converted
352,34508,Google Ads,Universal logistical application,2970.26,Converted
353,5448,Instagram Ads,Multi-tiered attitude-oriented firmware,3753.87,Not Converted
354,40735,LinkedIn Ads,Up-sized optimizing solution,4962.49,Converted
355,7914,Organic Search,Assimilated upward-trending core,1228.32,Not Converted
356,14440,Referral,Open-source systematic neural-net,2097.31,Not Converted
357,34799,Instagram Ads,Reverse-engineered system-worthy product,3427.94,Converted
358,19686,Instagram Ads,Diverse stable hardware,2611.96,Converted
359,9505,YouTube Ads,Polarized bottom-line customer loyalty,567.51,Converted
360,9014,YouTube Ads,Streamlined static productivity,4916.78,Converted
361,18139,Organic Search,Cross-platform 5thgeneration installation,1987.57,Converted
362,22983,YouTube Ads,Multi-tiered directional product,2920.76,Not Converted
363,16920,YouTube Ads,Fully-configurable exuding system engine,3944.87,Converted
364,37404,Google Ads,Cloned explicit instruction set,4623.64,Converted
365,28914,Organic Search,Focused contextually-based ability,3285.79,Converted
366,3516,YouTube Ads,Focused reciprocal moratorium,4351.13,Not Converted
367,41671,YouTube Ads,Fundamental heuristic customer loyalty,1515.6,Converted
368,39917,LinkedIn Ads,Open-architected holistic adapter,224.79,Not Converted
369,24210,YouTube Ads,Reduced asymmetric middleware,2922.39,Not Converted
370,17764,Organic Search,Enterprise-wide optimal circuit,2339.57,Not Converted
371,2051,Organic Search,Organized static framework,626.93,Converted
372,31409,Referral,Advanced content-based application,3570.64,Converted
373,49431,YouTube Ads,Versatile coherent structure,4422.16,Not Converted
374,16032,Referral,Reduced neutral capacity,2955.23,Not Converted
375,20853,Referral,Multi-lateral motivating knowledge user,4716.24,Converted
376,24421,Organic Search,Ameliorated real-time product,3359.17,Converted
377,49671,Google Ads,Team-oriented intangible utilization,3884.04,Converted
378,41196,Referral,Cross-group 24hour instruction set,51.78,Not Converted
379,3876,YouTube Ads,Cloned global capability,1196.35,Converted
380,44068,LinkedIn Ads,Persistent bandwidth-monitored frame,3620.45,Converted
381,28478,LinkedIn Ads,Sharable intermediate circuit,55.9,Not Converted
382,33632,Organic Search,Down-sized national definition,3416.19,Converted
383,31146,Google Ads,Reverse-engineered cohesive protocol,4792.38,Not Converted
384,34315,Organic Search,Multi-tiered interactive info-mediaries,916.54,Converted
385,14656,YouTube Ads,Enhanced dedicated initiative,2502.5,Not Converted
386,2165,Google Ads,Future-proofed exuding projection,3452.15,Converted
387,42163,Instagram Ads,Reverse-engineered attitude-oriented alliance,3022.91,Converted
388,45501,Google Ads,Right-sized clear-thinking throughput,4205.56,Converted
389,1828,Instagram Ads,Integrated multi-tasking contingency,124.53,Converted
390,20882,Organic Search,Ameliorated needs-based archive,4912.38,Not Converted
391,14824,Instagram Ads,Self-enabling human-resource conglomeration,1272.45,Converted
392,23415,Google Ads,Ergonomic zero administration frame,2453.22,Not Converted
393,34197,LinkedIn Ads,Synergized uniform algorithm,652.12,Converted
394,8537,Instagram Ads,Polarized modular hardware,3839.54,Not Converted
395,6797,YouTube Ads,Universal systemic budgetary management,3355.91,Converted
396,28475,Organic Search,Customer-focused directional database,3329.87,Not Converted
397,34394,LinkedIn Ads,Realigned demand-driven methodology,4936.77,Not Converted
398,39004,YouTube Ads,Expanded systematic support,3329.41,Not Converted
399,23162,Instagram Ads,Centralized even-keeled secured line,1420.52,Converted
400,11585,LinkedIn Ads,Organized homogeneous website,4513.08,Converted
401,12144,Referral,Realigned solution-oriented knowledge user,1529.25,Not Converted
402,42134,Instagram Ads,Self-enabling stable Internet solution,2486.95,Not Converted
403,30570,Referral,Fully-configurable intermediate monitoring,3749.98,Converted
